"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0030641","GO:0030641","regulation of cellular pH",83,-0.488160858724239,-1.59157553586477,0.00792602377807133,0.0395665977737025,0.0261513836985622,3582,"tags=42%, list=19%, signal=34%","80231/155066/8992/5595/51606/6522/120892/6548/55647/535/10159/84679/7879/51382/54734/596/11261/285195/54664/523/56833/25932/5538/23312/245972/8804/3920/1182/1657/5594/526/3916/9114/2896/506"
"GO:1905954","GO:1905954","positive regulation of lipid localization",86,-0.47614724988484,-1.56074966089819,0.00788436268068331,0.0395665977737025,0.0261513836985622,2121,"tags=30%, list=11%, signal=27%","949/54209/123/10162/9619/5321/80820/5608/6721/348/32/10396/55754/4790/10938/302/114885/4023/10226/19/1601/718/6256/948/338/4035"
"GO:0006885","GO:0006885","regulation of pH",90,-0.467611908617593,-1.53899957581707,0.00792602377807133,0.0395665977737025,0.0261513836985622,3582,"tags=39%, list=19%, signal=32%","155066/8992/5595/51606/6522/120892/6548/55647/535/10159/84679/7879/51382/54734/596/5164/11261/285195/54664/523/56833/25932/5538/23312/245972/8804/3920/1182/1657/5594/526/3916/9114/2896/506"
"GO:0055074","GO:0055074","calcium ion homeostasis",238,-0.387430216662523,-1.41478336722216,0.00790960451977401,0.0395665977737025,0.0261513836985622,2947,"tags=26%, list=16%, signal=22%","2185/79572/5336/9187/7531/1909/540/27185/2907/7421/578/642489/30001/7184/801/134/27020/63892/817/3954/27069/596/5663/5910/10989/9217/348/9474/7052/5788/10367/57190/25/27032/25998/808/811/729230/56172/5291/6786/118987/9472/3064/493/57003/10939/6546/3074/10345/1729/7009/84959/3708/1230/7779/1234/488/351/309/3709/2316"
"GO:0001771","GO:0001771","immunological synapse formation",13,-0.757718749402304,-1.72907416733041,0.00805152979066022,0.0395696698410084,0.0261534141690951,2462,"tags=54%, list=13%, signal=47%","4739/3958/84868/23607/81704/4478/1794"
"GO:0030449","GO:0030449","regulation of complement activation",13,-0.755237051721217,-1.72341106429267,0.00805152979066022,0.0395696698410084,0.0261534141690951,333,"tags=38%, list=2%, signal=38%","966/54209/718/11326/2"
"GO:0035435","GO:0035435","phosphate ion transmembrane transport",13,-0.751202973009104,-1.71420550973091,0.00805152979066022,0.0395696698410084,0.0261534141690951,2614,"tags=54%, list=14%, signal=46%","7421/8402/5250/6575/56172/9213/219855"
"GO:0003148","GO:0003148","outflow tract septum morphogenesis",13,-0.750806190520603,-1.71330007304816,0.00805152979066022,0.0395696698410084,0.0261534141690951,1022,"tags=31%, list=5%, signal=29%","2022/6091/8829/7048"
"GO:0051151","GO:0051151","negative regulation of smooth muscle cell differentiation",13,-0.750016749650082,-1.71149861067583,0.00805152979066022,0.0395696698410084,0.0261534141690951,2409,"tags=46%, list=13%, signal=40%","26057/4303/27250/80306/4773/4775"
"GO:0071895","GO:0071895","odontoblast differentiation",13,-0.747666561832011,-1.70613560619983,0.00805152979066022,0.0395696698410084,0.0261534141690951,2306,"tags=46%, list=12%, signal=40%","4087/7040/56975/57521/10527/1499"
"GO:0032328","GO:0032328","alanine transport",13,-0.745374295813311,-1.70090477621085,0.00805152979066022,0.0395696698410084,0.0261534141690951,2336,"tags=54%, list=12%, signal=47%","81539/8140/6520/6533/23428/6509/206358"
"GO:0035729","GO:0035729","cellular response to hepatocyte growth factor stimulus",13,-0.741528005491803,-1.69212774483843,0.00805152979066022,0.0395696698410084,0.0261534141690951,4303,"tags=77%, list=23%, signal=59%","3586/55198/3082/5970/1385/2729/5641/26060/5469/8829"
"GO:0021533","GO:0021533","cell differentiation in hindbrain",13,-0.738892388198959,-1.68611340537591,0.00805152979066022,0.0395696698410084,0.0261534141690951,1744,"tags=46%, list=9%, signal=42%","25809/23287/4983/538/136319/8925"
"GO:0030539","GO:0030539","male genitalia development",13,-0.734299806686927,-1.67563337692197,0.00805152979066022,0.0395696698410084,0.0261534141690951,1759,"tags=38%, list=9%, signal=35%","4920/55366/51665/1718/1499"
"GO:0035542","GO:0035542","regulation of SNARE complex assembly",13,-0.730681146920772,-1.6673757864546,0.00805152979066022,0.0395696698410084,0.0261534141690951,1447,"tags=46%, list=8%, signal=43%","6622/23355/6812/57617/9392/27072"
"GO:0002566","GO:0002566","somatic diversification of immune receptors via somatic mutation",13,-0.727257817688364,-1.65956392994888,0.00805152979066022,0.0395696698410084,0.0261534141690951,1505,"tags=46%, list=8%, signal=42%","4292/4436/8888/2956/25939/103"
"GO:0106027","GO:0106027","neuron projection organization",75,-0.505923248936059,-1.62973956701716,0.00805369127516779,0.0395696698410084,0.0261534141690951,3631,"tags=41%, list=19%, signal=33%","5357/8898/51104/1627/120892/10611/375/4739/29904/26037/27067/9456/3480/7074/54209/5641/10458/5663/348/85461/2932/51225/2048/55737/5621/5048/55619/26115/4076/1639/351"
