"","C08_10_1","C08_10_2","C08_10_3","C08_100_1","C08_100_2","C08_100_3"
"HERC2P2",7215.79709097668,7403.99205855791,6551.34905069831,5073.09915723027,5376.03477385337,5140.55861484423
"PDE4DIP",786.584569241299,812.7365186881,684.441879507816,415.130585310076,481.63343777569,467.616687046683
"CLEC17A",924.83797060358,964.183948675119,985.780049277701,1343.39585847559,1533.55262192864,1403.92504202981
"HNRNPM",9322.2293489995,8756.67158850408,8629.47996539184,11426.7236165863,11803.9887318597,11890.3636216629
"LMO2",1431.48087000573,1349.85752814517,1276.09365186088,1821.39700013552,2256.00277859217,2014.51418741491
"RAMP1",409.607903414956,250.217493022031,281.126463260929,108.174339601958,141.579060005491,139.747515669124
"ENTPD1",5884.78608407273,5936.55112203773,6369.44369211771,4667.21424197164,4506.71288204395,4402.0467435774
"ARHGAP10",104.76344699502,138.278088249017,127.701236579311,44.379216246957,31.7560508423532,26.8745222440623
"LIMK2",2734.1542232143,2588.71631878432,2631.19670189314,3478.22107335525,3819.98828257807,3591.51115269648
"LINC02910",1013.28579880429,930.319927063115,952.706347717591,1398.86987878429,1450.19298846746,1389.9502904629
"KRT1",8.58716778647707,38.5673579470048,67.0661170524438,0,0,0
"FUS",16628.1917017342,16470.143177905,16263.0740282515,20403.3446695385,21553.0963404621,22052.1579725877
"COL3A1",45.5119892683284,70.5500450250087,51.4479802046144,0.924567005144937,0,9.67482800786242
"INKA1",127.948800018508,96.888728501012,77.1719703069216,200.631040116451,272.572769730198,306.36955358231
"EDN1",81.5780939715321,102.532732103013,88.1965374936247,288.46490560522,205.091161690198,191.346598377723
"FLNB",3579.13153340364,3465.41821162843,3192.53091448277,2437.15862556205,2577.532793371,2383.23263260344
"STXBP1",1247.71547937512,1268.01947591616,1118.07485551814,805.29786148124,760.822051431378,834.185170455693
"CENPE",653.483468550905,1026.26798829713,975.674196023223,1795.50912399147,1317.87610995766,1650.09566578542
"TNF",3564.53334816663,3042.11794147838,2971.12085681648,4356.55972824294,4735.62108186592,4443.97099827814
"ASF1B",865.586512876888,839.075202164103,788.25655384927,1141.840251354,1360.21751108079,1303.9518192819
"SNRPB",2425.87489967977,2143.78070149326,2020.25193696334,2891.12102508822,3577.84839490512,3282.99163733465
"H1-0",7511.19566283149,7346.61135527091,7248.65292525728,9289.12470069118,9727.93690804085,9773.72624972056
"CD52",148.558002706053,117.583408375014,167.205935664997,42.5300822366671,58.2194265443141,36.5493502519247
"STARD9",4489.37131877021,4414.55148403154,4354.70403874772,3088.05379718409,3393.92793377649,3356.0903378385
"MPDZ",620.852230962292,651.88241603108,678.01088198224,378.147905104279,317.560508423532,427.842394125471
"RASAL2",5133.40890275599,5580.03822784469,5619.7731234219,4187.36396630142,3937.75030445179,4041.92814550696
"DYNLL1",2826.0369185296,2590.59765331832,2459.39719656701,1696.58045444096,1947.70445166433,1862.9418819584
"SAMD9L",917.10951959575,931.260594330115,1182.38483077391,1879.64472145966,1405.20524977413,1658.69551290352
"TLR4",2950.55085143352,3340.30946511741,3820.93124412484,2467.66933673184,1975.49099615139,2225.21044180836
"TFRC",8117.44970855677,8431.20071412204,9079.64979218222,11910.2721602771,10856.5998817295,11386.1975843643
"LINC00996",380.411532940934,338.640216120042,362.892003228977,128.514813715146,218.322849541178,159.097171684849
"BUB1B",1492.44976128971,1397.83155876217,1544.35812007066,2316.96491489321,1898.7472066157,2340.23339701294
"ISG15",261.049900708903,336.758881586042,252.646331361946,475.227440644497,527.944345254121,560.065043566258
"LRRC37A6P",1732.03174253242,1750.58178388722,1731.77576224461,1299.94120923378,1152.4800118204,1190.00384496708
"ADARB1",626.004531634178,674.458430439083,543.878647877352,267.199864486887,377.103103752944,362.268559849959
"KIF1B",1675.35643514168,1817.36915984422,1871.42027994285,1281.44986913088,1237.16281406668,1241.60292767568
"GPR157",313.431624206413,345.224886989043,273.776751803127,138.68505077174,104.530334022746,173.071923251761
"DMXL2",1690.81333715733,1973.51992616624,1943.99868058864,1374.83113665052,1243.77865799217,1143.77966670729
"WDFY3",5705.31427733536,6145.37925531176,6466.82736893358,4864.14701406751,4091.23788352317,4089.22730465651
"TLR8",1587.76732371961,1555.86365961819,1686.75877956557,2172.7324620906,2259.97228494747,2251.00998316266
"ZSCAN30",859.575495426354,858.829214771106,980.267765684349,604.666821364788,586.163771798436,508.465960857658
"SREBF1",2625.95590910469,2168.23805043527,2296.78483056314,3122.26277637445,3640.03732780473,3410.91436321638
"SDSL",939.436155840591,772.287826207095,890.233800326274,417.904286325511,608.657641145102,483.741400393121
"KRT5",25.7615033594312,25.3980162090031,32.154987627884,0,0,0
"FRY",742.790013530266,690.449773978085,731.296290051305,491.869646737106,430.029855156866,359.043617180672
"SNAI3-AS1",332.323393336662,312.301532644039,309.606595159912,163.648359910654,172.011942062746,162.322114354136
"SRGAP1",477.446528928125,417.656266548052,474.056389028233,257.029627430292,210.38383683059,280.57001222801
"TNIK",295.398571854811,332.996212518041,314.200164821038,165.497493920944,89.9754773866673,159.097171684849
"IL1A",1413.44781765412,1383.72154975717,1548.03297579956,1051.23268484979,997.669263963929,884.70927227453
"PLBD1",455.978609461932,429.884941019053,424.445836688069,721.16226401305,703.925793672162,654.663361865357
"DENND2D",2063.49641909044,1911.43588654424,2043.21978526897,1338.77302344987,1488.5648832353,1463.04899096675
"NAV3",790.878153134538,743.127140930092,800.199834968199,1229.67411684277,1066.47404078903,1173.87913162064
"HBA1",20.609202687545,32.9233543450041,26.6427040345325,0,0,0
