"","WT_10_1","WT_10_2","WT_10_3","C08_10_1","C08_10_2","C08_10_3"
"ATP10D",1890.79818562328,1727.68583510526,1903.4358702856,1995.89858680623,2321.44755944655,2596.91478432923
"RFC2",2362.03607604146,2353.75812782658,1988.92834355088,1867.57248821175,1809.3221584535,1809.58160943365
"EMILIN2",1046.54568715698,1063.98078161928,1190.01592096844,904.271241429142,889.18476216377,819.450495549823
"MLLT6",7428.72039162939,7312.1594552442,7245.24144120585,6715.73249311141,6296.51614810695,5873.79912879554
"PDCD6IPP2",105.239231110758,99.2136420159459,115.955308566701,203.61074310325,145.383584530996,200.962663522297
"UCK2",1877.93561293197,1775.58207607848,1788.4632338254,1453.50694341354,1556.0733337866,1506.76115755074
"AKAP8L",1448.7934149581,1670.66650061334,1508.40168347362,1347.4240352421,1146.18542127018,1206.69361886676
"ESYT1",3013.34998413804,3408.61581592715,3114.08790549048,3895.98035332858,3777.15932197627,3614.57503020241
"XRCC6",13301.0694876097,13588.8477961151,13220.870520817,11399.6350918101,11467.481964361,12279.8281427186
"HERPUD1",25528.6988178896,26710.1370493964,25866.8778593329,23126.9294886982,23396.4395647817,22719.7926308153
"NADK2",1029.00581530519,1255.56574551214,1166.4317904125,846.952250723605,829.155411131617,993.801664815742
"CD33",2923.31197529883,2744.91076244117,2845.81842041667,3573.45409219444,3126.21604672136,3417.28291761203
"FUT7",1198.55790987252,1188.28293081167,1076.02595661473,1574.13347609236,1370.35752903087,1375.53896173481
"DUSP4",2351.51215293038,2218.0521117358,2523.5019694855,2858.24996936118,2813.87582963218,2772.18359132812
"TCEA2",306.363095011318,394.573794684107,321.333778824673,248.097123949339,240.117404128613,187.198097527619
"ARHGAP31",7450.93756264166,7160.48802549568,6901.30620393173,6278.5682505662,6375.30467133665,5997.68022274764
"PAXX",1254.68549979826,1029.76918092413,957.122631728536,881.172543682134,847.914583329165,708.416329859421
"UST",943.645105626463,879.238137865451,1045.56312131331,691.249917762296,816.961949203211,699.239952529636
"NHLRC2",1703.70621920416,1834.88218395008,2005.63376936134,2024.98583582098,2417.11933765405,2460.18676211543
"ZDHHC16",777.60098542949,792.568749437729,800.877766795438,1012.92067157247,990.484292030529,965.354895093408
"SLC36A4",1057.06961026806,941.959405806567,1015.10028601189,674.139771283031,720.352212385839,893.779151921083
"EGR3",344.950813085262,226.936951277853,293.818959842744,169.390450144721,179.150094486582,201.880301255275
"RNF19B",2572.51453826297,2426.74287597624,2604.0810822183,2271.3719451224,1925.62902607829,2092.21403119104
"TSC22D1",244.388881134982,247.463911694945,248.61604294386,322.52626113414,353.610395923778,392.748949714809
"USP15",6400.88390111432,6270.98640742168,6837.4325170094,4760.04275053145,5652.13858312118,5844.43472134023
"ZNF875",879.332242169889,766.339855571444,859.838093185286,653.607595507913,670.640406062337,620.323107493483
"CARMN",11.6932479011953,15.9654136577384,12.7747373844671,53.8969614096839,35.642427175341,40.3760602510551
"UBE2E3",1687.33567214249,1768.73975593945,1604.70354991037,1370.52273298911,1416.31750091487,1391.13880319544
"RAB3IL1",977.55552453993,933.976698977697,863.768781611276,1374.80026960892,1184.64172427515,1041.51882693063
"TLR10",10774.1586161614,9694.42725031673,11503.1596786594,7661.06808609079,8874.02640805003,9749.90091289683
"UBN2",1496.735731353,1415.21988208953,1619.44363150783,1702.45957468684,1955.64370159437,1926.12160152192
"SF3B4",2786.50097485485,2746.05114913101,2420.32139830327,2384.29891188554,2109.46891361426,1975.67403910276
"ALKBH3",820.866002663912,769.761015640959,692.783835080716,645.908029592244,552.457621217786,502.865477672232
"MLLT3",31.5717693332274,80.9674549785305,53.0642937508634,98.3833422557723,109.741157355655,157.833690072306
"STAP1",85.3607096787259,59.3001078715998,69.7697195613204,31.6537709866398,33.7665099555862,25.6938565233987
"TASOR",4568.55195499702,4772.51829697395,5309.37739140583,5274.20265223336,5925.0845385955,6655.62647729324
"DCAF7",3962.8417137151,4008.45921478218,4431.85120030359,4745.49912602408,4973.99450817983,4806.58644534151
"PHTF2",2937.34387278027,2819.03589728067,3245.76596776114,2189.24324202192,2389.9185379676,2732.72516881005
"AKR1A1",5337.96766689567,5595.87748703732,5281.8625724239,6653.2804584621,6416.57485017126,5867.37566466469
"NCBP1",2254.45819535046,2127.96156323856,2356.44771138093,2625.55197724318,2597.20739075051,2809.80673838024
"RPS6KA2",203.462513480799,199.56767072173,180.811667595534,319.104231838287,266.38024520518,287.220610422278
"TMEM140",604.540916491799,685.372400592913,575.845854407517,787.922245370142,821.651742252598,807.521205021102
"RBM42",2239.25697307891,1989.97477376811,1853.31959285423,1757.21204342049,1653.62102921385,1451.70289357203
"ZNF687",2959.56104379254,3050.53439531788,2673.85080177962,2453.59500512656,2536.24008110848,2161.9544988974
"FILIP1L",3235.52169426075,3664.06243445097,3740.05003732937,2966.04389218054,2907.67169061992,3075.00404321104
"PGGT1B",3261.24683964338,2950.18036661209,3287.03819623404,2355.21166287079,2557.81312913566,2888.7235834164
