"","WT_V_1","WT_V_2","WT_V_3","WT_10_1","WT_10_2","WT_10_3"
"RIMBP3",9.69849423032873,14.7640048937682,28.3178398365782,18.4215112674063,14.9637233174237,1.71994062977226
"CYSRT1",15.517590768526,18.9822920062734,21.7829537204447,14.3278420968716,16.9588864264135,9.45967346374744
"GAN",607.125738818578,468.229869488077,340.90322572496,520.919401950545,556.650507408162,472.983673187372
"PI4K2B",1025.13084014575,781.437687591588,994.391837338302,968.152758831464,978.62750495951,1023.3646747145
"THRAP3",8158.37334655253,7212.21639060576,7387.68875428883,7187.45964616636,7358.16154595448,7468.84218478604
"CCDC120",121.231177879109,214.078070959639,186.244254309803,210.823962282539,184.552587581559,190.053439589835
"MEPCE",519.83929074562,539.940750400666,572.891682847697,532.176992169515,505.773848128921,496.202871689297
"RELL1",296.773923448059,300.552956765995,345.259816469049,277.346086303728,284.31074303105,307.009402414349
"SPAG1",96.0150928802544,98.0751753657459,107.825620916201,121.786657823408,91.7775030135321,130.715487862692
"EIF2S1",2977.43772871092,2563.66399262504,2715.24518125344,2568.77740451054,2579.74589992385,2779.42405771197
"CCDC124",1415.01030820496,1841.28232460852,1800.36112499476,1635.42083362863,1603.11355807333,1560.84612151833
"HAX1",1313.17611878651,1384.65274467983,1431.14005943322,1363.19183378807,1363.69398499455,1215.99802524899
"SFMBT1",734.176013235885,646.452499991422,739.531278809099,627.354800384448,645.435265758209,723.235034819236
"PITPNA",4354.6239094176,4283.67056274903,4383.8194362395,4220.57291482131,4172.88364245223,4228.4740382951
"CAPN2",48.4924711516436,46.4011582375572,47.9224981849784,51.1708646316842,22.944375753383,41.2785751145343
"DNAH17-AS1",3.87939769213149,12.6548613375156,25.0503967785115,12.2810075116042,7.98065243595931,6.87976251908904
"PPM1A",2042.50288490723,1707.35170878648,1595.60136002258,2045.81116797473,1649.00230958009,1950.41267416174
"RPL13P5",42.6733746134464,34.8008686781679,33.7635782666893,56.2879510948526,36.9105175163118,43.8584860591927
"SLC12A2-DT",332.658352100275,349.063258559805,332.190044236782,390.945405786067,363.119685836149,338.828304065135
"BCL3",125.110575571241,175.058915168966,238.52334323887,213.89421416044,204.504218671457,187.473528645176
"CLK3",2137.54812836445,2401.25993879358,2769.70256555455,2747.87543072144,2555.80394261597,2370.93815814106
"FUT8",7742.30794407142,7163.70608881196,7277.68483800059,6899.87938693629,7344.19540419156,7253.84960606451
"FZD6",110.562834225748,105.45717781263,86.0426671957567,128.950578871844,112.726715657925,103.196437786336
"IL12RB1",568.331761897264,457.684151706814,527.147480034763,487.146631293633,504.776266574426,460.944088778966
"MAP3K10",184.271390376246,272.079518756585,260.306296959315,253.807488573153,194.528403126508,196.933202108924
"NOC3L",1119.20623417994,873.185432288576,997.659280396369,1104.26725875174,925.75568257128,1144.62048911344
"TMPRSS13",32.0050309600848,25.3097226750312,38.1201690107783,30.7025187790105,24.9395388623728,18.9193469274949
"VAV1",5690.10656493387,6660.67535064571,6723.30866581527,6502.79347739442,6810.48927253678,6482.45623361165
"ZNF768",1100.77909514231,1452.14533847991,1310.24466628475,1320.20830749745,1360.70124033106,1392.29193980065
"SPPL2B",551.844321705705,727.654526907147,599.03122731223,761.42246571946,644.437684203714,607.999012624494
"CP",40.7336757673807,42.182871125052,42.4767597548672,53.2176992169515,52.8718223882304,45.5784266889649
"BCL2L1",1338.39220378536,1699.9697063396,1701.24868556673,1509.54050663468,1576.17885610196,1410.35131641325
"CRBN",876.743878421717,766.67368269782,779.829743191922,885.255958128136,838.966087330223,834.171205439547
