"","WT_V_1","WT_V_2","WT_V_3","WT_10_1","WT_10_2","WT_10_3","C08_V_1","C08_V_2","C08_V_3","C08_10_1","C08_10_2","C08_10_3","CTRL_Veh_0_vs_AD_Veh_0_pvalue","CTRL_Veh_10_vs_AD_Veh_10_pvalue","CTRL_Veh_0_vs_CTRL_Veh_10_pvalue","AD_Veh_0_vs_AD_Veh_10_pvalue","CTRL_Veh_0_vs_AD_Veh_10_pvalue"
"GOBP_UREA_CYCLE",-0.0334410216143965,0.473229738875425,0.396773390811809,-0.115268525485902,0.0955134921711946,-0.334828954986976,-0.520345097265298,-0.310216265813841,-0.231392634011292,0.575529496327909,0.13994808971305,0.418067689771367,0.0369567843497929,0.0494346521761482,0.122976429416455,0.0121875437478494,0.651906217364141
"GOBP_CITRULLINE_METABOLIC_PROCESS",-0.12631200449129,0.461493880948679,0.422354130435857,-0.367498312600774,-0.303994875245435,-0.1003807744042,-0.347031284431195,-0.29098160623795,-0.201840814128204,0.426562983847034,0.438615864011796,0.161706842790058,0.100612152539481,0.0080101501043376,0.0993041148216413,0.00979746399892707,0.699313686202341
"GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS",-0.00119826462898745,-0.145398404691307,-0.192834990961181,-0.124863430258716,0.0962376920766478,0.585702395356145,-0.529517305338495,-0.519399707172998,-0.637710485218497,0.405625514207173,0.396469780578573,0.421510224078778,0.0046981250716587,0.400869563631162,0.288377547163125,0.00107781981315906,0.011042047849811
"GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS",0.204890426731474,-0.147050163037203,-0.328032807004785,-0.0721364369670545,0.173425612804201,0.549878709501098,-0.566853530456986,-0.682522176220183,-0.682761004840621,0.507631183723466,0.493311857767509,0.589529872904919,0.0638385426088478,0.223288403590027,0.269746812212922,2.9037070079133e-05,0.0535538715112072
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS",-0.017660586377622,-0.276852062124025,-0.0913063878981699,-0.0721364369670545,0.23930185778951,0.576727429113773,-0.46914366922478,-0.462333369201523,-0.617358865132564,0.15232977315966,0.264129616772363,0.35383322591659,0.0185361166415041,0.967710527505106,0.171743695652995,0.000615842407797095,0.0187577160424118
"GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",0.135664829891569,-0.204913771484766,-0.213200965372833,-0.113828703501175,0.0133972822774439,0.365773269218148,-0.390799493422415,-0.361086666352438,-0.455560821414923,0.123249990607616,0.0522119730728459,0.0333992401482888,0.108097593576815,0.908498997555493,0.379217938808696,0.000269591828993958,0.288202116842057
"GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING",0.0139578634798908,-0.279506706467001,-0.25473955364628,0.0583290361391467,0.0698079743789815,0.402457661374958,-0.336266281394436,-0.294000392361392,-0.441476942017209,0.142443902246697,-0.0306869741176122,0.102811411053208,0.179822039796946,0.462849672128414,0.077655038897809,0.00363824144869156,0.103468697883413
"GOBP_DNA_REPLICATION_CHECKPOINT_SIGNALING",-0.00556488843818892,-0.144856799762135,-0.437125568594781,0.452388785444466,0.403136767263425,0.575035764009016,-0.29839019616189,-0.417565839349954,-0.451156991193949,-0.0457487588130188,-0.279515510955263,-0.0603135928555693,0.264762234525705,0.00419492548637137,0.0218858787015305,0.053561450073518,0.677706458620237
"GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE",0.0278183934345273,-0.0785036048653527,-0.373975308698675,0.115304621540411,-0.0795569406552848,0.431904036455703,-0.368076325322594,-0.304676550094547,-0.443736227741164,0.446351444415915,0.400341688243348,0.00099212976918231,0.187015319255695,0.570947658712986,0.198408136633328,0.0354154995179469,0.0860233356963831
"GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS",0.0268122874429099,-0.0332849129788117,-0.12605762227867,-0.27169396388259,-0.269104307581439,0.307300429421235,-0.333863799608148,-0.0165294657752565,-0.280860542969234,0.281026652769575,0.300219223011522,0.392982896747422,0.227259028231144,0.168110900320675,0.879097445501173,0.0221902728290835,0.00344338446639353
"GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS",-0.119647392563694,-0.179863364943881,-0.290668131541938,-0.23859885503774,-0.328393770021149,0.311940403754835,-0.458900461948688,0.144859436598884,-0.314712742131997,0.18818914039329,0.43222495338495,0.491988386585474,0.951169605261783,0.136464542619096,0.637113610856963,0.066290063637707,0.0118565997142706
"GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS",-0.2844689129124,0.193980294952007,0.240148724490602,-0.34107050443829,-0.166764288763364,0.0787246286654554,-0.117522473102505,0.173177137372505,-0.337711589445566,0.392715632042654,0.204741201026214,0.187882844492464,0.555467035112041,0.0594227079788011,0.409288441277995,0.123185101735063,0.335837842223419
"GOBP_SULFUR_AMINO_ACID_TRANSPORT",-0.0415544163170426,0.253896158440199,0.0028647076612299,0.0467836787295728,0.260323475979702,-0.0762334312434074,-0.290191077490805,-0.263914966120135,-0.521591450773759,0.524837573235803,0.369003743125585,0.343785183829045,0.0255665875263827,0.0551437705171078,0.970925065892556,0.0023832347314032,0.0443269012383646
"GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II",-0.0240313092742038,-0.14527206802676,-0.261406562148526,0.0896038044860348,0.0747298676349892,0.270756526437997,-0.262171762591948,-0.242291564671382,-0.270454661443636,0.279597660165769,0.185268397275052,0.167261123382987,0.234830751016607,0.426583370912595,0.0365608815731229,0.00374561024569754,0.0196596167386153
"GOBP_RRNA_MODIFICATION",-0.37284588557223,-0.241664261477796,-0.437203825221582,-0.104542882958703,0.0448837887089798,0.343583945860737,-0.135473479360494,-0.165256102293532,-0.449131533495711,0.431498664230174,0.0295240917637742,-0.167248704783316,0.443626575483663,0.988862211627343,0.0603394356365293,0.179593885613892,0.114630466589913
