"","C08_V_1","C08_V_2","C08_V_3","C08_100_1","C08_100_2","C08_100_3"
"ALG1L6P",14.8208423356739,21.0981454234895,19.9338800778828,22.7639894526415,30.3713316970624,46.9481406857035
"KLHL6-AS1",0,0,0,6.07039718737106,0,3.54325590080781
"DCTN2",2337.45856265485,1894.61345902936,1948.82992290831,2205.07177831254,2290.86616229271,2311.9744752771
"NFE2L2",1455.61844368226,1571.81183404997,1339.0877087613,1745.23919136918,1390.57311555836,1748.59678704866
"RPS10P18",0,0,2.34516236210386,7.58799648421383,4.33876167100892,3.54325590080781
"IL20RB",48.6970533886427,68.5689726263409,41.0403413368175,34.1459841789622,30.3713316970624,37.204186958482
"FAM86B3P",49.755684984048,49.5806417452004,24.6242048020905,27.3167873431698,21.6938083550446,24.8027913056547
"FAM72D",163.029265692413,237.354136014257,126.638767553608,94.8499560526728,157.280110574073,141.730236032313
"MADD-AS1",13.7622107402686,11.6039799829192,7.03548708631158,4.5527978905283,3.25407125325669,3.54325590080781
"OAZ2",3690.38974158279,3448.49186946936,3482.56610772423,3681.69589414055,3737.84317957418,4014.50893561525
"SERPINB6",3077.44204784314,2836.64565218817,3103.82238624446,3160.40053567506,3437.38393385682,3156.15519364456
"TTC23L",2.11726319081055,2.10981454234895,5.86290590525965,0,0,0.885813975201953
"GSTP1",4209.11922333138,3909.48634697261,3541.19516677683,3294.70807344564,3999.25357025247,3312.0584532801
"COQ3",293.240951927262,198.322566980801,200.51138195988,185.905913863239,193.074894359897,173.619539139583
"KIF5B",6625.97515564163,6417.00093055434,7184.40489630517,8458.33968095315,6479.94055565182,7227.35622367274
"WNT3",0,4.2196290846979,7.03548708631158,0,0,0.885813975201953
"IQSEC2",721.986748066399,785.905917024985,770.385835951118,751.211651937169,879.683928797058,954.907465267706
"C6orf132",14.8208423356739,4.2196290846979,25.7967859831425,9.10559578105659,0,5.31488385121172
"CICP5",2.11726319081055,3.16472181352343,4.69032472420772,0,0,0.885813975201953
"MSANTD3",329.234426171041,337.570326775832,317.769500065073,352.083036867522,401.335454568325,402.159544741687
"FMO4",37.0521058391847,51.6904562875493,84.4258450357389,82.7091616779307,77.0130196604083,93.0104673962051
"SLC49A4",632.00306245695,593.91279367123,702.376127450106,773.97564138981,723.488508640737,688.277458731918
"MRPL3P1",6.35178957243166,7.38435089822133,5.86290590525965,15.934792616849,13.0162850130268,16.8304655288371
"VAMP4",466.856533573727,551.716502824251,525.316369111265,520.536558817069,410.012977910343,380.014195361638
"GRK4",34.9348426483741,51.6904562875493,41.0403413368175,81.9503620295093,52.065140052107,57.577908388127
"SLC26A7",149.267054952144,185.663679726708,184.095245425153,115.33754656005,123.654707623754,164.761399387563
"TPBG",19.055368717295,16.8785163387916,32.832273069454,3.03519859368553,10.8469041775223,17.7162795040391
"TBL1X",110.097685922149,107.600541659797,127.81134873466,173.765119488497,136.670992636781,135.529538205899
"LMNB1-DT",4.23452638162111,0,7.03548708631158,0.758799648421383,0,0
"SND1-IT1",25.4071582897266,22.153052694664,23.4516236210386,14.4171933200063,10.8469041775223,11.5155816776254
"ZNF140",63.5178957243166,42.196290846979,58.6290590525965,83.4679613263521,86.7752334201784,65.5502341649445
"KCTD18",692.345063395051,682.525004449886,646.092230759613,724.65366424242,769.045506186331,778.630484202517
"RPL12P11",0,0,2.34516236210386,3.03519859368553,0,15.0588375784332
"GAS5-AS1",19.055368717295,23.2079599658385,17.5887177157789,44.7691792568616,30.3713316970624,28.3460472064625
"WEE2-AS1",58.2247377472902,51.6904562875493,50.420990785233,35.663583475805,34.7100933680714,35.4325590080781
"PHTF2",2299.34782522026,2570.8090198522,2413.17207060487,2475.20445315055,1825.533973077,2231.36540353372
"RNU6-72P",2.11726319081055,11.6039799829192,7.03548708631158,0.758799648421383,0,3.54325590080781
"FGD2",5588.51619214445,5492.9021610055,5325.86372433786,4802.44297485893,5317.15242782143,5199.72803443547
"C10orf143",120.684001876202,102.326005303924,137.191998183076,88.0207592168804,90.0293046734351,93.896281371407
"PDCD6P1",230.78168779835,205.706917879023,236.86139857249,176.800318082182,176.804538093613,195.764888519632
"ICA1",335.586215743473,335.460512233483,355.292097858735,251.162683627478,327.576506161173,285.232100015029
"OXCT2",13.7622107402686,18.9883308811406,46.9032472420772,15.1759929684277,8.67752334201784,15.0588375784332
"ACSL5",592.833693426955,646.658157229954,588.635752888069,702.6484744382,669.253987753126,691.820714632726
"HLCS-AS1",58.2247377472902,44.306105389328,85.5984262167909,43.2515799600188,28.201950861558,49.6055826113094
"ELOCP33",12.7035791448633,5.27453635587238,11.7258118105193,0,3.25407125325669,5.31488385121172
"RIMKLB",161.970634097007,180.389143370835,193.475894873568,163.900724059019,127.993469294763,130.214654354687
"PCOLCE-AS1",5.29315797702638,8.43925816939581,7.03548708631158,1.51759929684277,2.16938083550446,1.77162795040391
"CCR7",308.061794262935,309.087830454121,315.424337702969,360.429833000157,406.758906657086,333.066054675934
"NTN3",14.8208423356739,6.32944362704686,0,0,2.16938083550446,1.77162795040391
"RPL23AP97",1.05863159540528,0,0,6.07039718737106,4.33876167100892,0.885813975201953
"BTRC",513.436323771559,438.841424808582,393.987276833448,539.506550027603,503.296353837035,519.086989468345
"ADGRE5",295.358215118072,289.044592301806,374.053396755566,355.118235461207,441.469000025158,350.782334179973
"CSPG4P13",2.11726319081055,2.10981454234895,8.20806826736351,10.6231950778994,33.6254029503191,0
"RNU1-103P",14.8208423356739,8.43925816939581,23.4516236210386,5.31159753894968,9.76221375977007,4.42906987600977
"KRBOX5",638.354852029382,531.673264671936,796.18262193426,643.462101861332,472.925022139972,541.232338848393
"AKT2",2739.73856890886,2461.09866365005,2509.32372745113,2548.80801904742,3127.16247437968,2786.77076598534
"SUV39H1",461.563375596701,425.127630283314,503.037326671278,404.440212608597,434.960857518644,351.668148155175
"NRBF2P5",37.0521058391847,23.2079599658385,26.9693671641944,7.58799648421383,26.0325700260535,12.4013956528273
"JMJD4",64.5765273197219,54.8551781010727,71.5274520441677,74.3623655452955,108.469041775223,85.0381416193875
