"gene","AD_logFC","AD_padj","AD_label","AD_drug_logFC","AD_drug_padj","AD_drug_label"
"MIR503HG",1.80076296275392,5.75336404920679e-126,"up",-1.73123346858071,2.42295903676066e-97,"down"
"MGAT5",-2.07382478503453,8.64530828935623e-125,"down",2.00508306134225,4.77740913273353e-117,"up"
"FGD5",-2.08048686445333,5.36037595345521e-120,"down",1.76549516781021,1.16906930601049e-100,"up"
"TSC22D3",1.92266280241836,1.01560422681539e-115,"up",-1.7147895351654,1.96288349762232e-77,"down"
"SMCR8",-1.89805571554055,5.76799436393121e-115,"down",1.90885107875451,1.62414075628267e-108,"up"
"EEF1A1P5",-2.09201188365142,5.55910383453867e-114,"down",1.90015550627172,4.17714544063968e-185,"up"
"LIPA",-1.56418679639065,1.49695541149614e-113,"down",1.71897092939501,4.97235863163902e-132,"up"
"NOTCH2",-1.77868012505895,8.90048033627406e-113,"down",1.74544206199438,6.41311161243002e-106,"up"
"NDRG1",-1.6912422360713,4.98886645057156e-111,"down",1.50153430737853,4.63104482156318e-79,"up"
"CMKLR1",-1.7814391912137,5.30957685912838e-110,"down",1.5493218380011,7.40246265083162e-84,"up"
"HYOU1",-2.11207587159707,5.41832604047643e-106,"down",2.03414644693963,2.12539678858829e-98,"up"
"SEL1L",-1.66678480110869,6.89059579558373e-104,"down",1.7600128879816,9.83494038982629e-103,"up"
"FKBP11",2.05138465787433,2.68993546065453e-96,"up",-1.68254481035475,5.35914405745005e-74,"down"
"CPD",-1.89112921875625,1.09441280334772e-95,"down",1.90888931564901,1.31196984992937e-105,"up"
"RALGAPA2",-1.55581053355226,1.17029029137233e-92,"down",1.57167260368967,3.51817230158182e-94,"up"
"PLA2G7",-2.04696065036448,1.9678385336926e-88,"down",1.90679219692297,1.05245863039801e-72,"up"
"APOB",-3.12667448239544,2.14943187896705e-87,"down",2.49782568369242,1.11486104762128e-45,"up"
"CD93",-1.61112843081585,2.6433706830539e-87,"down",1.63488467332639,1.76589348297696e-88,"up"
"ASCC3",-1.52377864230672,2.85528717446601e-87,"down",1.53155529054773,3.67932172803778e-77,"up"
"AP2B1",-1.58918631922912,3.43973474766307e-86,"down",1.57204471860366,1.25603029371227e-90,"up"
"CLEC2D",2.10306626360357,1.46514580788364e-85,"up",-1.79420568270919,8.23246455529604e-70,"down"
"TBC1D14",-2.16864301494044,7.31188859756556e-84,"down",2.30198702468504,8.41649543333529e-97,"up"
"CERS6",-2.38593198161281,2.94328894869895e-82,"down",2.49249810237848,4.43713113941557e-88,"up"
"CENATAC",1.96450043681202,1.93241834016485e-80,"up",-1.6316024969408,5.06040827683714e-85,"down"
"LRRC37A6P",-2.04256834042649,8.14645404926214e-80,"down",1.88221683914269,5.11203234263344e-74,"up"
"CSNK1A1",-1.57936697908837,1.0264379726493e-79,"down",1.54417477190742,3.91518367027585e-73,"up"
"CLASRP",1.58640003253221,1.54727625351997e-79,"up",-1.56374308963017,1.52186494223154e-84,"down"
"FOSB",4.20986564718831,2.74250363204872e-79,"up",-1.95646716631226,1.97585506007498e-24,"down"
"ITGA4",-1.60738986867414,9.65360160759429e-76,"down",1.53216334560504,2.48340408322038e-77,"up"
"SEC23B",-1.63724107832632,3.52486155026557e-74,"down",1.51672893535854,4.27761359428584e-65,"up"
"ARRB1",-1.59774707543854,8.01725289673545e-74,"down",1.65656436134468,3.8363825006917e-85,"up"
"ZNF700",1.87789726066447,9.68473319070443e-74,"up",-1.59412459224484,1.74794674085222e-76,"down"
"FMN1",-1.8017513425633,1.16181466121846e-73,"down",1.58872278374287,1.53148385037829e-53,"up"
"ASMTL-AS1",2.34906290658424,4.08934098595926e-72,"up",-1.90381255766375,1.39392793251609e-62,"down"
"SH3PXD2A",-1.71352062150104,3.49810737373057e-71,"down",1.51041440629322,7.94672924442768e-54,"up"
"SCARB2",-1.8392694441331,1.56287496222417e-70,"down",1.67630864530058,5.76161774286111e-53,"up"
"MLXIPL",1.88628175445492,3.05325096302528e-70,"up",-1.80354532038695,6.34075381687005e-77,"down"
"TBC1D5",-1.57717042486542,6.1645831553771e-70,"down",1.65344612403472,5.95957849417824e-87,"up"
"AGER",2.4284543780746,2.44915471984484e-69,"up",-2.08066254486698,1.20546284441851e-45,"down"
"PGM1",-1.86271815339584,2.20345912625545e-67,"down",1.72962685820005,2.13157177541604e-56,"up"
"TLR4",-1.75509652919728,6.54450828009647e-67,"down",1.69661500774762,4.11612424179009e-53,"up"
"ZNF26",1.67942335108375,8.33933120189141e-65,"up",-1.50523658245782,6.23502724195587e-39,"down"
"SLC36A1",-1.75454710481835,5.06288684268534e-64,"down",1.50395452197435,1.30148640600804e-45,"up"
"TDRD6",-2.68279531352771,7.04233446043571e-63,"down",2.35645102130565,6.97577940867826e-36,"up"
"NPIPB5",2.01121007154139,2.14704487317849e-62,"up",-1.78560210784483,3.12608642068108e-28,"down"
"PCDHGC3",-2.9243731849749,4.02596198596117e-60,"down",2.88682929657275,4.87474620526117e-53,"up"
"CANT1",-1.678692095299,4.43099233427058e-60,"down",1.55703946774398,3.69953750303097e-43,"up"
"CENPT",1.63403273903005,5.07196136755574e-60,"up",-1.62217227286707,3.67614403522096e-60,"down"
"NRIP1",-1.67445193832222,3.06768226581839e-59,"down",1.56620177050509,1.01141667379842e-55,"up"
"CARD9",1.75803563013386,3.25420532603893e-59,"up",-1.5729685946392,1.18384185084117e-41,"down"
"PTGFRN",-1.69876719751741,1.28171621828623e-58,"down",1.5194916203506,8.17967128880277e-50,"up"
"CCR5",-1.6633166126363,1.20700019062826e-57,"down",1.53011409937989,1.55114198060677e-48,"up"
"TMEM140",-2.75050256506236,8.17598649314124e-57,"down",2.73535574877915,6.5291037355138e-61,"up"
"ANTXR2",-2.96295146046994,5.49577726927467e-56,"down",2.64448464960452,2.12036820716633e-53,"up"
"EMP1",-2.09504468889666,6.37644413154345e-56,"down",2.06897150582519,7.09669433642069e-57,"up"
"SNX29",-1.70652290167445,8.14799572451618e-53,"down",1.59975380346282,6.09435379297413e-49,"up"
"BMP2K",-1.60290098845182,1.24585239647282e-52,"down",1.67259818195043,5.0223418090456e-58,"up"
"MCM2",-2.07599930899431,1.4900236632316e-52,"down",1.60899611749863,2.60068730012973e-39,"up"
"CERS2",-1.66368714720613,1.48634209266668e-51,"down",1.57107745612414,3.60647723734077e-48,"up"
"ANO6",-1.60209770432688,1.72200362240008e-51,"down",1.61325218582402,5.749102099032e-61,"up"
"RAB11FIP1",-1.60137192972316,5.73389462087738e-50,"down",1.63048822453428,9.75185261076792e-56,"up"
"UBASH3B",-1.66445088904169,9.08777216813194e-50,"down",1.69056656582094,2.08142741319925e-49,"up"
"ERMN",2.50715856404235,1.2469034971857e-49,"up",-2.67756856348888,5.01893113686228e-60,"down"
"SH3PXD2B",-2.20209802239498,2.22153336860105e-49,"down",1.79547170773886,4.63024861752535e-32,"up"
"SLC40A1",-2.15850766546795,6.4792164983156e-49,"down",1.75895803137269,6.44433933133767e-33,"up"
"MHENCR",2.18807115335813,9.69378176224295e-49,"up",-2.04071940449132,4.24923107341363e-31,"down"
"CYP51A1",-3.67015291505093,1.07319492476165e-47,"down",3.71702898655287,2.45958747486403e-51,"up"
"ZNF770",-1.77066558902985,9.39525001827375e-46,"down",1.60662504426716,5.88698060268046e-34,"up"
"MICAL2",-1.94193042193226,7.50476897658344e-45,"down",1.82978326556217,2.11976475966289e-43,"up"
"WDR7",-1.59713999875681,1.76455714816749e-43,"down",1.64124267749188,1.52305834351939e-54,"up"
"UBXN11",1.51250898717714,1.17573603940512e-40,"up",-1.64844540559882,2.05107230819117e-48,"down"
"H2BC21",2.25575341447573,2.80437009454629e-40,"up",-1.98234051144679,1.8517489452599e-33,"down"
"LMNA",-2.78981082246441,5.89624185674515e-40,"down",2.26864170558701,7.531719505982e-25,"up"
"MALAT1",2.21414833165342,1.29345288215049e-39,"up",-1.67918971335523,2.10533994318102e-24,"down"
"ZNF366",-1.90136188720358,1.12641473041717e-37,"down",1.91217039052901,1.53427392850302e-41,"up"
"REC8",2.34613207581345,2.98795588582577e-37,"up",-2.08405109712912,9.36462302975954e-39,"down"
"WDR90",1.7326337047327,3.13242285784187e-37,"up",-1.7092277351055,1.51913672780675e-31,"down"
"ABCA1",-2.25472741435885,3.1501101846414e-37,"down",1.53198224248447,9.46726222667081e-18,"up"
"GCC1",-1.60563230240746,3.43225272694637e-37,"down",1.57729427130948,1.12405336743043e-38,"up"
"GNA15-DT",2.46821837585261,4.47659416954366e-36,"up",-2.0511984034381,1.78315720860852e-37,"down"
"EPAS1",-3.1734036062461,1.11980138814984e-35,"down",2.38826004870905,9.43835304370282e-17,"up"
"NFATC3",-1.53902715939916,1.12354553665362e-35,"down",1.59406723722009,1.09863676820173e-40,"up"
"RTL6",-2.41959256549926,2.25657014946705e-34,"down",2.10645622941651,1.01110389462835e-30,"up"
"NBAS",-1.55427560814789,3.87611841560987e-34,"down",1.60612108645426,2.79678479191178e-36,"up"
"XACT",3.04910387275087,2.4307708300541e-33,"up",-2.18786943323642,6.09168326517657e-75,"down"
"NPIPB12",1.97777990541148,2.97760433092756e-33,"up",-1.90589794517666,7.01922655914128e-21,"down"
