"","WT_10_1","WT_10_2","WT_10_3","WT_100_1","WT_100_2","WT_100_3"
"CRAT",768.422170129705,778.719877556235,689.383899225806,668.639600221749,699.490139228438,750.947420421417
"LINC02391",45.3282740806848,85.008504153713,62.7539433332198,87.1315059779049,52.9916772142756,88.9526246135095
"ZSCAN30",601.139253879558,468.071516698222,591.160335747722,475.434956531612,543.694608218468,536.52477793201
"TTC21B",964.844691146006,977.073053914899,977.688247582772,1107.13837487142,927.354351249823,1026.2323850148
"HMCES",1106.2257364929,1211.10881226401,1262.35468618129,1114.71502756515,1134.0218923855,1178.85636198325
"MMACHC",225.562125782455,274.965778867566,245.558908695208,232.034988745508,243.761715185668,208.804581987501
"MYO18A",7978.8554828215,8393.80266939996,7661.43795129048,7762.28068472727,7663.65635872854,7984.20031662522
"OR52P2P",7.5547123467808,17.8412909952237,13.6421615941782,13.259142214029,24.3761715185668,16.8541815057176
"ADRM1",1050.10501620253,968.677152270088,834.900289563706,775.659819520697,927.354351249823,989.714991752416
"H2BC20P",224.482881161487,202.551127181069,283.756961158907,177.104256715959,223.624877844243,244.385631832905
"ABCC2",61.5169433952151,66.1177254528879,41.8359622221465,57.7719767896978,64.6498462014163,77.7165036096978
"RPL7P1",2295.5533088004,2449.50430487366,2433.76162840139,2364.86272203075,2378.26647337669,2197.59799966218
"AUH",420.905402177788,331.638114970041,404.717460627287,419.557142915347,330.66806581708,319.29310519165
"IGBP1",1385.75009332379,1439.89713208511,1552.47798941748,1628.98032915214,1369.30493921688,1575.8659707846
"C2orf69",1000.45976363797,1056.83411954061,1208.69551724419,1132.70957771276,988.824696818383,985.969618084479
"CLYBL",103.607483612994,87.1074795649158,106.40886043459,91.8669139114867,80.547349365699,88.0162811965252
"EMB",310.822450838982,245.580123110727,301.037032511533,351.367268671769,234.223213287098,353.001468203085
"ACTR6",692.875046661897,727.294979981767,678.470169950463,766.189003653534,805.47349365699,647.949644553143
"MECR",419.826157556819,413.49815600695,389.256344153885,316.325249963264,380.480242398499,438.208719148657
"POR",826.701379662014,973.924590798095,895.835278017702,727.358658598163,927.354351249823,896.080650053985
"CAPN5",76.6263680887767,27.2866803456363,48.2023042994297,30.3066107749235,60.4105120242742,30.8993327604823
"ITGAE",755.471234678081,833.293238247508,778.51268830777,784.183553801144,698.430305684153,765.928915093166
"TTC21A",49.6452525645596,72.4146516864963,45.473871980594,74.8194453505923,34.9745069614219,92.6979982814468
"AK7",30.2188493871232,31.4846311680419,36.3790975844752,27.4653660147744,25.4360050628523,25.2812722585764
"GORASP1",1408.41423036414,1512.31178377161,1382.40570821006,1465.13521465021,1548.41680820113,1461.63207391251
"L3MBTL3",377.73561733904,422.943545357362,432.911261255255,489.641180332357,433.471919612775,397.945952218332
"SFT2D1",1681.46311946921,1828.20758315763,1856.24345424785,1700.01144815586,1880.1447075625,1571.18425369967
"SNX6",2479.02489436507,2129.41055466523,2531.98519187948,2493.66581782417,2203.39393856958,2157.33523273185
"OTUD6B",1136.44458588003,1067.32899659662,1121.38568304145,1162.06910690097,1019.55986960266,993.460365420354
"GIMAP1",801.878753379734,832.243750541907,853.999315795556,891.203773100093,904.038013275542,816.491459610319
"RPS6KA2",187.788564048551,183.660348480244,167.343848888586,155.321380221483,160.034865187112,173.223532142097
"RTN3",4860.91777284296,4574.71690871648,4980.29845931466,5004.37910420924,4927.16614738335,4888.64898007509
"SLC39A3",732.807097637738,803.907582490669,777.603210868158,728.305740184879,828.789831631271,882.971842216205
"BOP1",1574.61790199331,1636.15133303258,1573.39597052855,1333.49087409663,1830.33253098108,1878.30489447053
"ZNF768",1392.22556104961,1431.5012304403,1472.44397473163,1414.93989055424,1598.22898478255,1460.69573049552
"ARHGAP32",555.810979798874,481.71485687104,569.332877197037,536.048178081459,467.386593029911,507.498132005496
"DNAJC8P1",18.3471585564677,35.6825819904474,40.9264847825346,69.1369558302941,28.6155056957088,24.3449288415921
"RWDD2A",350.754501814823,354.726844493272,352.87724656941,347.578942324903,435.591586701346,354.874155037054
"ZNF583",153.252736177553,151.126229606601,161.886984250915,139.220993247305,146.257029111401,237.831227914015
"PTEN",3812.97124588237,3824.33319921148,4050.81251603132,4319.63911701331,3479.43352588934,3440.12571400036
"CDK20",52.8829864274656,27.2866803456363,46.3833494202059,27.4653660147744,65.7096797457018,63.6713523549331
"MDFIC",43.1697848387475,25.1877049344335,43.6549171013703,79.5548532841741,44.5130088599915,18.7268683396862
"LAMTOR1",4372.01995954415,4476.06506438995,3996.2438696546,3953.11854295408,4153.48766005492,4339.0153943053
"SDHB",1993.36481492916,1905.86967337213,1795.30846579385,1843.96784933675,1908.76021325821,1733.17166483796
"HAUS4",674.527888105429,759.82909885541,724.853519370669,698.946210996672,702.669639861295,648.885987970127
"TMEM254",236.354571992142,283.361680512377,282.847483719295,259.500354760282,222.565044299958,256.558096253701
"CSTB",1569.22167888847,1603.61721415893,1507.9135948765,1628.98032915214,1666.05833161683,1561.82081952983
"MAGOHB",363.705437266447,392.508401894922,368.338363042812,468.805385424597,378.360575309928,360.49221553896
"TMED7",2604.21727039744,2437.95994011204,2919.42258115414,2756.95449893132,2557.37834236094,2338.04951220982
"BAG2",444.648783839099,490.110758515852,529.315869854115,533.20693332131,595.626451888458,440.081405982626
"ETV4",22.6641370403424,16.7918032896223,17.2800713526257,23.6770396679089,29.6753392399944,20.5995551736548
"PSMC3",3390.98659908361,3180.99723567783,3409.63092110494,3132.94588885771,3251.56931386795,3303.41957512065
"RASGRP2",32.3773386290606,38.8310451072516,23.6464134299089,28.4124476014907,32.8548398728509,57.116948436043
"DGCR6L",699.350514387709,534.18924215111,581.156083911992,609.920541845334,639.079627204164,677.912633896641
"SPRYD7",628.120369403775,491.160246221453,603.893019902289,637.385907860109,557.47244429418,637.649866966316
"SRD5A3",127.350865274305,102.849795148937,137.331093381394,96.6023218450685,115.521856327121,114.233896872086
"C17orf113",18.3471585564677,31.4846311680419,30.0127555071921,12.3120606273127,31.7950063285654,16.8541815057176
"CHRNB1",290.316803040577,215.144979648286,246.46838613482,209.305030664315,335.967233538508,282.775711929262
"DDX10",723.09389604902,684.26598405211,683.927034588134,749.141535092639,738.703980367002,709.748310074108
"GSDMD",1483.96135383194,1294.01834100652,1376.03936613278,1289.92512110768,1595.0494841497,1464.44110416346
"MOB4",651.863751065087,681.117520935306,639.362640047152,775.659819520697,649.677962647019,657.313078722986
"RHEBL1",20.505647798405,44.0784836352586,40.0170073429228,54.9307320295488,44.5130088599915,30.8993327604823
"RPL15",30899.8527429545,32393.4875210927,31403.3465123586,30996.086170053,31057.3621817427,30739.2180361779
"SNX25",519.116662685938,458.62612734781,434.730216134479,491.53534350579,402.736746828495,426.036254727861
"SUCLA2",1068.452174759,1182.77264421277,1217.79029164031,1090.09090631053,1194.43240440977,1031.85044551671
"DNAL1",224.482881161487,305.400922330006,319.22658130377,255.712028413417,240.582214552811,282.775711929262
"TUBB8P1",60.4376987742464,29.3856557568391,50.0212591786534,36.936181881938,19.0770037971392,55.2442616020743
"FOLR2",185.630074806614,225.6398567043,162.796461690527,157.215543394915,190.770037971392,171.350845308129
"PSME2P1",37.773561733904,13.6433401728181,19.0990262318495,15.1533053874617,14.8376696199972,22.4722420076235
"MTRES1",398.241265137445,374.667110899698,481.113565554685,451.757916863703,419.694083537063,471.917082160093
"NPIPB2",45.3282740806848,57.7218238080767,19.0990262318495,27.4653660147744,64.6498462014163,60.8623221039802
"AKR7A2P1",6.47546772581212,27.2866803456363,14.5516390337901,13.259142214029,38.1540075942785,15.9178380887333
"PLA2G4C",309.743206218013,340.034016614852,371.976272801259,402.509674354452,414.394915815635,291.202802682121
"RAB4A",1141.84080898487,1159.68391468954,1220.51872395914,1183.85198339545,1089.50888352551,1104.88523204149
"RND3",75.5471234678081,51.4248975744684,83.671924444293,71.9782005904432,29.6753392399944,73.0347865247762
"SIRT4",16.1886693145303,19.9402664064265,24.5558908695208,10.4178974538799,33.9146734171364,36.5173932623881
"STING1",362.626192645479,289.658606745985,315.588671545323,307.801515682816,353.984403791361,382.028114129599
"GRM1",37.773561733904,30.4351434624405,39.1075299033109,20.8357949077599,29.6753392399944,35.5810498454038
"CCDC144CP",56.1207202903717,88.1569672705172,92.7666988404118,97.5494034317849,93.2653518971251,83.3345641116037
"SLC16A4",24.8226262822798,54.5733606912726,51.8402140578772,43.5657529889525,22.2565044299958,39.326423513341
"MAGOH2P",10.7924462096869,22.0392418176293,21.8274585506851,26.518284428058,15.8975031642827,29.9629893434979
"BAZ2B-AS1",150.015002314647,111.245696793748,135.51213850217,146.797645941035,187.590537338536,113.297553455102
"COPS8",751.154256194206,868.975820237955,822.16760540914,901.621670553973,796.994825302706,867.990347544456
"LTC4S",80.9433465726515,109.146721382545,79.1245372462336,52.0894872693997,149.436529744257,116.106583706055
"PCGF2",138.143311483992,168.967520601825,160.068029371691,141.115156420737,214.086375945674,165.732784806223
"PIGC",872.029653742699,901.509939111599,855.81827067478,955.605320996805,906.157680364113,888.589902718111
"USP15",5907.78505518259,5771.13289310207,6328.14402481947,6548.1220905569,6125.83788597026,5865.25516398972
"DCBLD1",269.811155242172,305.400922330006,271.933754443952,271.812415387595,289.334557589945,355.810498454038
"HEIH",139.222556104961,104.94877056014,104.589905555366,152.480135461334,112.342355694264,127.342704709866
"MYO1B",151.094246935616,153.225205017804,244.649431255596,193.204643690137,166.393866452825,130.151734960819
"TAF6",1002.61825287991,1010.65666049414,1049.53696531211,849.532183284573,958.089524034103,1103.9488886245
"ECSIT",927.071129412102,939.291496513249,1031.34741651987,944.240341956209,1041.81637403266,1049.64097043941
"SLC5A4",30.2188493871232,8.39590164481116,11.8232067149544,31.2536923616398,24.3761715185668,13.1088078377804
"WDR5B-DT",62.5961880161838,36.7320696960488,55.4781238163247,43.5657529889525,33.9146734171364,50.5625445171528
"EIF1AXP1",199.660254879207,167.918032896223,196.447126956166,171.421767195661,156.855364554256,184.459653145909
"RN7SL832P",17.267913935499,19.9402664064265,31.8317103864158,18.9416317343272,5.29916772142756,26.2176156755607
"CBLB",259.018709032485,164.769569779419,171.891236086645,173.315930369094,240.582214552811,248.131005500842
"KNDC1",62.5961880161838,34.633094284846,51.8402140578772,52.0894872693997,57.2310113914177,68.3530694398547
"MIR635",11.8716908306556,23.0887295232307,22.736935990297,23.6770396679089,25.4360050628523,26.2176156755607
"ATF7",546.097778210155,629.692623360837,637.543685167928,662.010029114734,631.660792394165,622.668372294567
